datetime,Flow,Avg kph
2024-01-01 00:10,18,63
2024-01-01 00:20,19,59
2024-01-01 00:30,20,55
2024-01-01 00:40,20,51
2024-01-01 00:50,21,47
2024-01-01 01:00,22,44
2024-01-01 01:10,22,46
2024-01-01 01:20,22,49
2024-01-01 01:30,22,51
2024-01-01 01:40,22,54
2024-01-01 01:50,22,57
2024-01-01 02:00,21,60
2024-01-01 02:10,19,63
2024-01-01 02:20,18,65
2024-01-01 02:30,16,68
2024-01-01 02:40,15,71
2024-01-01 02:50,16,62
2024-01-01 03:00,18,53
2024-01-01 03:10,13,60
2024-01-01 03:20,14,59
2024-01-01 03:30,14,59
2024-01-01 03:40,15,58
2024-01-01 03:50,16,58
2024-01-01 04:00,17,57
2024-01-01 04:10,17,57
2024-01-01 04:20,18,56
2024-01-01 04:30,19,56
2024-01-01 04:40,20,55
2024-01-01 04:50,20,55
2024-01-01 05:00,21,54
2024-01-01 05:10,20,56
2024-01-01 05:20,18,58
2024-01-01 05:30,30,55
2024-01-01 05:40,42,51
2024-01-01 05:50,53,48
2024-01-01 06:00,65,45
2024-01-01 06:10,77,41
2024-01-01 06:20,89,38
2024-01-01 06:30,100,34
2024-01-01 06:40,112,31
2024-01-01 06:50,124,28
2024-01-01 07:00,136,24
2024-01-01 07:10,148,21
2024-01-01 07:20,97,10
2024-01-01 07:30,82,16
2024-01-01 07:40,66,23
2024-01-01 07:50,158,28
2024-01-01 08:00,129,31
2024-01-01 08:10,100,34
2024-01-01 08:20,71,37
2024-01-01 08:30,42,40
2024-01-01 08:40,55,34
2024-01-01 08:50,68,28
2024-01-01 09:00,81,22
2024-01-01 09:10,94,15
2024-01-01 09:20,121,14
2024-01-01 09:30,149,14
2024-01-01 09:40,176,13
2024-01-01 09:50,164,14
2024-01-01 10:00,151,16
2024-01-01 10:10,138,18
2024-01-01 10:20,126,20
2024-01-01 10:30,114,21
2024-01-01 10:40,101,23
2024-01-01 10:50,88,25
2024-01-01 11:00,76,27
2024-01-01 11:10,64,28
2024-01-01 11:20,51,30
2024-01-01 11:30,28,37
2024-01-01 11:40,37,34
2024-01-01 11:50,45,32
2024-01-01 12:00,54,29
2024-01-01 12:10,62,26
2024-01-01 12:20,71,24
2024-01-01 12:30,79,21
2024-01-01 12:40,88,19
2024-01-01 12:50,99,10
2024-01-01 13:00,94,12
2024-01-01 13:10,88,13
2024-01-01 13:20,83,15
2024-01-01 13:30,78,16
2024-01-01 13:40,68,21
2024-01-01 13:50,58,25
2024-01-01 14:00,48,29
2024-01-01 14:10,37,30
2024-01-01 14:20,67,24
2024-01-01 14:30,61,29
2024-01-01 14:40,54,34
2024-01-01 14:50,48,39
2024-01-01 15:00,53,42
2024-01-01 15:10,58,45
2024-01-01 15:20,63,47
2024-01-01 15:30,68,50
2024-01-01 15:40,73,53
2024-01-01 15:50,64,53
2024-01-01 16:00,54,54
2024-01-01 16:10,44,54
2024-01-01 16:20,35,54
2024-01-01 16:30,42,43
2024-01-01 16:40,50,32
2024-01-01 16:50,88,26
2024-01-01 17:00,126,21
2024-01-01 17:10,164,15
2024-01-01 17:20,202,10
2024-01-01 17:30,115,10
2024-01-01 17:40,120,11
2024-01-01 17:50,126,12
2024-01-01 18:00,131,13
2024-01-01 18:10,136,13
2024-01-01 18:20,142,14
2024-01-01 18:30,147,15
2024-01-01 18:40,153,15
2024-01-01 18:50,158,16
2024-01-01 19:00,163,17
2024-01-01 19:10,169,18
2024-01-01 19:20,174,18
2024-01-01 19:30,151,22
2024-01-01 19:40,127,25
2024-01-01 19:50,104,29
2024-01-01 20:00,81,32
2024-01-01 20:10,58,36
2024-01-01 20:20,34,39
2024-01-01 20:30,11,42
2024-01-01 20:40,12,45
2024-01-01 20:50,12,48
2024-01-01 21:00,12,51
2024-01-01 21:10,13,54
2024-01-01 21:20,14,57
2024-01-01 21:30,14,60
2024-01-01 21:40,18,53
2024-01-01 21:50,18,53
2024-01-01 22:00,18,53
2024-01-01 22:10,18,53
2024-01-01 22:20,18,53
2024-01-01 22:30,18,52
2024-01-01 22:40,18,53
2024-01-01 22:50,18,53
2024-01-01 23:00,18,54
2024-01-01 23:10,18,54
2024-01-01 23:20,18,54
2024-01-01 23:30,18,55
2024-01-01 23:40,18,55
2024-01-01 23:50,18,55
2024-01-02 00:00,17,56
2024-01-02 00:10,17,56
2024-01-02 00:20,17,56
2024-01-02 00:30,17,57
2024-01-02 00:40,17,57
2024-01-02 00:50,17,57
2024-01-02 01:00,17,58
2024-01-02 01:10,17,58
2024-01-02 01:20,17,58
2024-01-02 01:30,21,57
2024-01-02 01:40,20,53
2024-01-02 01:50,20,50
2024-01-02 02:00,19,47
2024-01-02 02:10,13,62
2024-01-02 02:20,13,61
2024-01-02 02:30,14,60
2024-01-02 02:40,14,59
2024-01-02 02:50,15,58
2024-01-02 03:00,15,57
2024-01-02 03:10,16,56
2024-01-02 03:20,17,53
2024-01-02 03:30,19,49
2024-01-02 03:40,17,50
2024-01-02 03:50,14,51
2024-01-02 04:00,12,52
2024-01-02 04:10,27,54
2024-01-02 04:20,23,58
2024-01-02 04:30,19,62
2024-01-02 04:40,15,66
2024-01-02 04:50,15,64
2024-01-02 05:00,15,62
2024-01-02 05:10,18,66
2024-01-02 05:20,16,66
2024-01-02 05:30,13,66
2024-01-02 05:40,11,66
2024-01-02 05:50,16,66
2024-01-02 06:00,20,66
2024-01-02 06:10,26,64
2024-01-02 06:20,32,61
2024-01-02 06:30,38,58
2024-01-02 06:40,44,55
2024-01-02 06:50,50,53
2024-01-02 07:00,56,50
2024-01-02 07:10,62,47
2024-01-02 07:20,68,45
2024-01-02 07:30,74,42
2024-01-02 07:40,80,39
2024-01-02 07:50,86,37
2024-01-02 08:00,92,34
2024-01-02 08:10,98,31
2024-01-02 08:20,104,29
2024-01-02 08:30,110,26
2024-01-02 08:40,116,23
2024-01-02 08:50,122,21
2024-01-02 09:00,128,18
2024-01-02 09:10,134,15
2024-01-02 09:20,140,13
2024-01-02 09:30,146,10
2024-01-02 09:40,140,14
2024-01-02 09:50,100,26
2024-01-02 10:00,60,38
2024-01-02 10:10,5,44
2024-01-02 10:20,10,43
2024-01-02 10:30,16,43
2024-01-02 10:40,22,42
2024-01-02 10:50,27,42
2024-01-02 11:00,65,34
2024-01-02 11:10,75,27
2024-01-02 11:20,85,20
2024-01-02 11:30,95,14
2024-01-02 11:40,91,14
2024-01-02 11:50,87,15
2024-01-02 12:00,84,16
2024-01-02 12:10,80,17
2024-01-02 12:20,76,18
2024-01-02 12:30,72,19
2024-01-02 12:40,69,20
2024-01-02 12:50,65,21
2024-01-02 13:00,61,21
2024-01-02 13:10,57,22
2024-01-02 13:20,54,23
2024-01-02 13:30,50,24
2024-01-02 13:40,46,25
2024-01-02 13:50,80,20
2024-01-02 14:00,73,24
2024-01-02 14:10,66,28
2024-01-02 14:20,60,32
2024-01-02 14:30,53,36
2024-01-02 14:40,46,40
2024-01-02 14:50,39,44
2024-01-02 15:00,32,48
2024-01-02 15:10,67,34
2024-01-02 15:20,64,35
2024-01-02 15:30,61,35
2024-01-02 15:40,58,36
2024-01-02 15:50,56,37
2024-01-02 16:00,53,38
2024-01-02 16:10,50,39
2024-01-02 16:20,55,36
2024-01-02 16:30,59,33
2024-01-02 16:40,64,30
2024-01-02 16:50,129,26
2024-01-02 17:00,194,21
2024-01-02 17:10,259,17
2024-01-02 17:20,219,18
2024-01-02 17:30,178,18
2024-01-02 17:40,138,19
